date,new_cases_global,new_deaths_global,new_tests_global,total_vaccinations_global,people_vaccinated_global,people_fully_vaccinated_global,new_vaccinations_global,new_cases_7day_average_global,new_deaths_7day_average_global,new_tests_7day_average_global,total_vaccinations_7day_average_global,people_vaccinated_7day_average_global,people_fully_vaccinated_7day_average_global,new_vaccinations_7day_average_global,new_cases_usa,new_deaths_usa,new_tests_usa,total_vaccinations_usa,people_vaccinated_usa,people_fully_vaccinated_usa,new_vaccinations_usa,new_cases_7day_average_usa,new_deaths_7day_average_usa,new_tests_7day_average_usa,total_vaccinations_7day_average_usa,people_vaccinated_7day_average_usa,people_fully_vaccinated_7day_average_usa,new_vaccinations_7day_average_usa
1/1/20,0,0,27,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/2/20,0,0,108,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/3/20,0,0,93,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/4/20,0,0,112,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/5/20,0,0,87,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/6/20,0,0,218,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/7/20,0,0,210,0,0,0,0,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/8/20,0,0,173,0,0,0,0,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/9/20,0,0,202,0,0,0,0,0,0,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/10/20,0,0,246,0,0,0,0,0,0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/11/20,0,0,48,0,0,0,0,0,0,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/12/20,0,0,171,0,0,0,0,0,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/13/20,0,0,243,0,0,0,0,0,0,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/14/20,0,0,248,0,0,0,0,0,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/15/20,0,0,343,0,0,0,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/16/20,0,0,244,0,0,0,0,0,0,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
