date,region,new_cases,new_deaths,new_tests,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_cases_7day_average,new_deaths_7day_average,new_tests_7day_average,total_vaccinations_7day_average,people_vaccinated_7day_average,people_fully_vaccinated_7day_average,new_vaccinations_7day_average
1/1/2020,Global,0,0,27,0,0,0,0,0,0,27,0,0,0,0
1/2/2020,Global,0,0,108,0,0,0,0,0,0,67.5,0,0,0,0
1/3/2020,Global,0,0,93,0,0,0,0,0,0,76,0,0,0,0
1/4/2020,Global,0,0,112,0,0,0,0,0,0,85,0,0,0,0
1/5/2020,Global,0,0,87,0,0,0,0,0,0,85.4,0,0,0,0
1/6/2020,Global,0,0,218,0,0,0,0,0,0,107.5,0,0,0,0
1/7/2020,Global,0,0,210,0,0,0,0,0,0,122.1428571,0,0,0,0
1/8/2020,Global,0,0,173,0,0,0,0,0,0,143,0,0,0,0
1/9/2020,Global,0,0,202,0,0,0,0,0,0,156.4285714,0,0,0,0
1/10/2020,Global,0,0,246,0,0,0,0,0,0,178.2857143,0,0,0,0
1/11/2020,Global,0,0,48,0,0,0,0,0,0,169.1428571,0,0,0,0
1/12/2020,Global,0,0,171,0,0,0,0,0,0,181.1428571,0,0,0,0
1/13/2020,Global,0,0,243,0,0,0,0,0,0,184.7142857,0,0,0,0
1/14/2020,Global,0,0,248,0,0,0,0,0,0,190.1428571,0,0,0,0
1/15/2020,Global,0,0,343,0,0,0,0,0,0,214.4285714,0,0,0,0
1/16/2020,Global,0,0,244,0,0,0,0,0,0,220.4285714,0,0,0,0
1/17/2020,Global,0,0,192,0,0,0,0,0,0,212.7142857,0,0,0,0
1/18/2020,Global,0,0,93,0,0,0,0,0,0,219.1428571,0,0,0,0
1/19/2020,Global,0,0,165,0,0,0,0,0,0,218.2857143,0,0,0,0
1/20/2020,Global,0,0,347,0,0,0,0,0,0,233.1428571,0,0,0,0
1/21/2020,Global,0,0,300,0,0,0,0,0,0,240.5714286,0,0,0,0
1/22/2020,Global,0,0,349,0,0,0,0,0,0,241.4285714,0,0,0,0
1/23/2020,Global,294,3,360,0,0,0,0,42,0.4285714286,258,0,0,0,0
1/24/2020,Global,860,24,286,0,0,0,0,164.8571429,3.857142857,271.4285714,0,0,0,0
1/25/2020,Global,1477,48,223,0,0,0,0,375.8571429,10.71428571,290,0,0,0,0
1/26/2020,Global,2055,42,337,0,0,0,0,669.4285714,16.71428571,314.5714286,0,0,0,0
1/27/2020,Global,2428,78,493,0,0,0,0,1016.285714,27.85714286,335.4285714,0,0,0,0
1/28/2020,Global,7957,147,550,0,0,0,0,2153,48.85714286,371.1428571,0,0,0,0
1/29/2020,Global,1769,6,504,0,0,0,0,2405.714286,49.71428571,393.2857143,0,0,0,0
1/30/2020,Global,6204,114,485,0,0,0,0,3250,65.57142857,411.1428571,0,0,0,0
1/31/2020,Global,5079,126,391,0,0,0,0,3852.714286,80.14285714,426.1428571,0,0,0,0
2/1/2020,Global,6339,138,600,0,0,0,0,4547.285714,93,480,0,0,0,0
2/2/2020,Global,14249,309,383,0,0,0,0,6289.285714,131.1428571,486.5714286,0,0,0,0
2/3/2020,Global,9302,192,403,0,0,0,0,7271.285714,147.4285714,473.7142857,0,0,0,0
2/4/2020,Global,12034,198,594,0,0,0,0,7853.714286,154.7142857,480,0,0,0,0
2/5/2020,Global,11235,216,890,0,0,0,0,9206,184.7142857,535.1428571,0,0,0,0
2/6/2020,Global,9480,210,706,0,0,0,0,9674,198.4285714,566.7142857,0,0,0,0
2/7/2020,Global,10720,255,781,0,0,0,0,10479.85714,216.8571429,622.4285714,0,0,0,0
2/8/2020,Global,8207,261,1547,0,0,0,0,10746.71429,234.4285714,757.7142857,0,0,0,0
