date,new_cases,new_deaths,new_tests,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_cases_7day_average,new_deaths_7day_average,new_tests_7day_average,total_vaccinations_7day_average,people_vaccinated_7day_average,people_fully_vaccinated_7day_average,new_vaccinations_7day_average
1/1/20,0,0,27,0,0,0,0,0,0,27,0,0,0,0
1/2/20,0,0,108,0,0,0,0,0,0,68,0,0,0,0
1/3/20,0,0,93,0,0,0,0,0,0,76,0,0,0,0
1/4/20,0,0,112,0,0,0,0,0,0,85,0,0,0,0
1/5/20,0,0,87,0,0,0,0,0,0,85,0,0,0,0
1/6/20,0,0,218,0,0,0,0,0,0,108,0,0,0,0
1/7/20,0,0,210,0,0,0,0,0,0,122,0,0,0,0
1/8/20,0,0,173,0,0,0,0,0,0,143,0,0,0,0
1/9/20,0,0,202,0,0,0,0,0,0,156,0,0,0,0
1/10/20,0,0,246,0,0,0,0,0,0,178,0,0,0,0
1/11/20,0,0,48,0,0,0,0,0,0,169,0,0,0,0
1/12/20,0,0,171,0,0,0,0,0,0,181,0,0,0,0
1/13/20,0,0,243,0,0,0,0,0,0,185,0,0,0,0
1/14/20,0,0,248,0,0,0,0,0,0,190,0,0,0,0
1/15/20,0,0,343,0,0,0,0,0,0,214,0,0,0,0
1/16/20,0,0,244,0,0,0,0,0,0,220,0,0,0,0
1/17/20,0,0,192,0,0,0,0,0,0,213,0,0,0,0
1/18/20,0,0,93,0,0,0,0,0,0,219,0,0,0,0
1/19/20,0,0,165,0,0,0,0,0,0,218,0,0,0,0
1/20/20,0,0,347,0,0,0,0,0,0,233,0,0,0,0
1/21/20,0,0,300,0,0,0,0,0,0,241,0,0,0,0
1/22/20,0,0,349,0,0,0,0,0,0,241,0,0,0,0
1/23/20,294,3,360,0,0,0,0,42,0,258,0,0,0,0
1/24/20,860,24,286,0,0,0,0,165,4,271,0,0,0,0
1/25/20,1477,48,223,0,0,0,0,376,11,290,0,0,0,0
1/26/20,2055,42,337,0,0,0,0,669,17,315,0,0,0,0
1/27/20,2428,78,493,0,0,0,0,1016,28,335,0,0,0,0
1/28/20,7957,147,550,0,0,0,0,2153,49,371,0,0,0,0
1/29/20,1769,6,504,0,0,0,0,2406,50,393,0,0,0,0
