date,new_cases,new_deaths,new_tests,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_cases_7day_average,new_deaths_7day_average,new_tests_7day_average,total_vaccinations_7day_average,people_vaccinated_7day_average,people_fully_vaccinated_7day_average,new_vaccinations_7day_average
1/1/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/2/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/3/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/4/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/5/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/6/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/7/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/8/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/9/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/10/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/11/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/12/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/13/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/14/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/15/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/16/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/17/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/18/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/19/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/20/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/21/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/22/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/23/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/24/20,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1/25/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/26/20,3,0,0,0,0,0,0,1,0,0,0,0,0,0
1/27/20,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1/28/20,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1/29/20,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1/30/20,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1/31/20,2,0,0,0,0,0,0,1,0,0,0,0,0,0
2/1/20,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2/2/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/3/20,3,0,0,0,0,0,0,1,0,0,0,0,0,0
2/4/20,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2/5/20,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2/6/20,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2/7/20,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2/8/20,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2/9/20,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2/10/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/11/20,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2/12/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/13/20,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2/14/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/15/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/16/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/17/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/18/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/19/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/20/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/21/20,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2/22/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/23/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/24/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/25/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/26/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/27/20,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2/28/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/29/20,8,1,0,0,0,0,0,1,0,0,0,0,0,0
3/1/20,7,0,347,0,0,0,0,2,0,50,0,0,0,0
3/2/20,23,5,505,0,0,0,0,6,1,122,0,0,0,0
3/3/20,19,1,605,0,0,0,0,8,1,208,0,0,0,0
3/4/20,33,4,857,0,0,0,0,13,2,331,0,0,0,0
3/5/20,77,1,1190,0,0,0,0,24,2,501,0,0,0,0
3/6/20,53,2,1484,0,0,0,0,31,2,713,0,0,0,0
3/7/20,166,3,1763,0,0,0,0,54,2,964,0,0,0,0
3/8/20,116,4,1602,0,0,0,0,70,3,1144,0,0,0,0
3/9/20,75,1,2322,0,0,0,0,77,2,1403,0,0,0,0
3/10/20,188,6,3349,0,0,0,0,101,3,1795,0,0,0,0
3/11/20,365,5,4692,0,0,0,0,149,3,2343,0,0,0,0
3/12/20,439,10,8796,0,0,0,0,200,4,3430,0,0,0,0
3/13/20,633,8,11674,0,0,0,0,283,5,4885,0,0,0,0
3/14/20,759,7,12989,0,0,0,0,368,6,6489,0,0,0,0
3/15/20,234,12,14423,0,0,0,0,385,7,8321,0,0,0,0
3/16/20,1467,27,27540,0,0,0,0,584,11,11923,0,0,0,0
3/17/20,1833,37,40187,0,0,0,0,819,15,17186,0,0,0,0
3/18/20,2657,60,50850,0,0,0,0,1146,23,23780,0,0,0,0
3/19/20,4494,72,60738,0,0,0,0,1725,32,31200,0,0,0,0
3/20/20,6367,106,76383,0,0,0,0,2544,46,40444,0,0,0,0
3/21/20,5995,103,76451,0,0,0,0,3292,60,49510,0,0,0,0
3/22/20,8873,124,74439,0,0,0,0,4527,76,58084,0,0,0,0
3/23/20,11238,191,80449,0,0,0,0,5922,99,65642,0,0,0,0
3/24/20,10619,243,104631,0,0,0,0,7178,128,74849,0,0,0,0
3/25/20,12082,334,114785,0,0,0,0,8524,168,83982,0,0,0,0
3/26/20,17856,418,129478,0,0,0,0,10433,217,93802,0,0,0,0
3/27/20,18690,522,136212,0,0,0,0,12193,276,102349,0,0,0,0
3/28/20,19630,650,122021,0,0,0,0,14141,355,108859,0,0,0,0
3/29/20,18899,616,110163,0,0,0,0,15573,425,113963,0,0,0,0
3/30/20,22075,713,123611,0,0,0,0,17122,499,120129,0,0,0,0
3/31/20,26314,1085,142493,0,0,0,0,19364,620,125538,0,0,0,0
4/1/20,32286,1284,153604,0,0,0,0,22250,755,131083,0,0,0,0
4/2/20,32222,1514,162212,0,0,0,0,24302,912,135759,0,0,0,0
4/3/20,32307,1429,169984,0,0,0,0,26248,1042,140584,0,0,0,0
4/4/20,32386,1568,148704,0,0,0,0,28070,1173,144396,0,0,0,0
4/5/20,29895,1615,139565,0,0,0,0,29641,1315,148596,0,0,0,0
4/6/20,31390,1772,143985,0,0,0,0,30971,1467,151507,0,0,0,0
4/7/20,30779,2573,180418,0,0,0,0,31609,1679,156925,0,0,0,0
4/8/20,31235,2161,169100,0,0,0,0,31459,1805,159138,0,0,0,0
4/9/20,35942,2211,175042,0,0,0,0,31991,1904,160971,0,0,0,0
4/10/20,34403,2197,172993,0,0,0,0,32290,2014,161401,0,0,0,0
4/11/20,29083,2126,210725,0,0,0,0,31818,2094,170261,0,0,0,0
4/12/20,27256,1873,111648,0,0,0,0,31441,2130,166273,0,0,0,0
4/13/20,26939,2015,114205,0,0,0,0,30805,2165,162019,0,0,0,0
4/14/20,28818,2447,162482,0,0,0,0,30525,2147,159456,0,0,0,0
4/15/20,25408,2607,172171,0,0,0,0,29693,2211,159895,0,0,0,0
4/16/20,30002,2153,184141,0,0,0,0,28844,2203,161195,0,0,0,0
4/17/20,33066,2113,198305,0,0,0,0,28653,2191,164811,0,0,0,0
4/18/20,27907,1972,167071,0,0,0,0,28485,2169,158575,0,0,0,0
4/19/20,26062,1977,134267,0,0,0,0,28315,2183,161806,0,0,0,0
4/20/20,29820,2236,160160,0,0,0,0,28726,2215,168371,0,0,0,0
4/21/20,25926,2505,221088,0,0,0,0,28313,2223,176743,0,0,0,0
4/22/20,28911,2465,235728,0,0,0,0,28813,2203,185823,0,0,0,0
4/23/20,33612,2458,232971,0,0,0,0,29329,2247,192799,0,0,0,0
4/24/20,32327,2188,259256,0,0,0,0,29224,2257,201506,0,0,0,0
4/25/20,30380,1716,219429,0,0,0,0,29577,2221,208986,0,0,0,0
4/26/20,26488,1404,171520,0,0,0,0,29638,2139,214307,0,0,0,0
4/27/20,23715,1520,225732,0,0,0,0,28766,2037,223675,0,0,0,0
4/28/20,24575,2225,269631,0,0,0,0,28573,1997,230610,0,0,0,0
4/29/20,26459,2410,294651,0,0,0,0,28222,1989,239027,0,0,0,0
4/30/20,29205,2188,322469,0,0,0,0,27593,1950,251813,0,0,0,0
5/1/20,34907,1915,336483,0,0,0,0,27961,1911,262845,0,0,0,0
5/2/20,27348,1730,268270,0,0,0,0,27528,1913,269822,0,0,0,0
5/3/20,24321,1197,207580,0,0,0,0,27219,1884,274974,0,0,0,0
5/4/20,24068,1390,250570,0,0,0,0,27269,1865,278522,0,0,0,0
5/5/20,24528,2215,319191,0,0,0,0,27262,1864,285602,0,0,0,0
5/6/20,24569,2309,359375,0,0,0,0,26992,1849,294848,0,0,0,0
5/7/20,27429,1925,362024,0,0,0,0,26739,1812,300499,0,0,0,0
5/8/20,26830,1758,402937,0,0,0,0,25585,1789,309992,0,0,0,0
5/9/20,25176,1463,335192,0,0,0,0,25274,1751,319553,0,0,0,0
5/10/20,18805,987,248609,0,0,0,0,24486,1721,325414,0,0,0,0
5/11/20,19298,1044,319372,0,0,0,0,23805,1672,335243,0,0,0,0
5/12/20,22927,1598,421358,0,0,0,0,23576,1583,349838,0,0,0,0
5/13/20,20433,1725,449954,0,0,0,0,22985,1500,362778,0,0,0,0
